iteration,best_loss,loss,loss_oe,loss_prompt,loss_softmax
0,1.1306753,"[1.4526943 1.2641733 1.6446258 1.9636308 1.1306753 1.4018995 1.882608
 1.4224459 1.467008  1.6707354 1.486618  1.4240233 1.691717  1.8538517
 1.4449835 1.5091859]","[0.73655933 0.7480696  0.7644714  0.7336106  0.753246   0.75681156
 0.7479252  0.75507545 0.760137   0.7628032  0.75793046 0.74230325
 0.7518112  0.78111523 0.74651873 0.75102997]","[-0.2271339  -0.22299357 -0.20946777 -0.21973737 -0.22891162 -0.22013803
 -0.21373618 -0.22387564 -0.22050317 -0.21012573 -0.22943781 -0.22841015
 -0.2173837  -0.20595968 -0.22906974 -0.23378313]","[1.6798282 1.4871669 1.8540936 2.1833682 1.359587  1.6220375 2.0963442
 1.6463215 1.6875112 1.880861  1.7160559 1.6524334 1.9091008 2.0598114
 1.6740532 1.742969 ]"
1,1.1306753,"[2.0730085 2.5721986 1.6284945 2.2246366 1.5266527 1.157678  1.6377386
 1.4181627 1.9371387 1.808355  1.6743613 1.2898046 1.2292067 1.7723318
 1.3186533 1.8872398]","[0.75083363 0.75766486 0.74273425 0.77133673 0.75729173 0.7435257
 0.7623936  0.75283986 0.74466246 0.7426875  0.747904   0.7578987
 0.75540286 0.7720128  0.7436368  0.74143165]","[-0.21445589 -0.2034022  -0.22808865 -0.21917295 -0.22529049 -0.22267805
 -0.22280322 -0.22388637 -0.20724957 -0.22141083 -0.22375885 -0.2262584
 -0.23381965 -0.23311718 -0.22739588 -0.20696531]","[2.2874644 2.775601  1.8565831 2.4438095 1.7519432 1.3803561 1.8605418
 1.6420491 2.1443882 2.0297658 1.8981202 1.516063  1.4630263 2.005449
 1.5460492 2.0942051]"
2,1.1306753,"[1.1333791 1.8011136 1.6577158 1.5977119 1.2923517 1.3681285 1.4540714
 1.4025303 1.1419147 1.3898298 1.4026781 1.2282969 1.2949075 1.628284
 1.5117685 1.3597244]","[0.7336083  0.7549186  0.7639746  0.75089407 0.75243354 0.76073617
 0.7490959  0.7563902  0.7579915  0.7428265  0.76570094 0.7595857
 0.75283414 0.75830615 0.75595576 0.742434  ]","[-0.22117949 -0.22068189 -0.235386   -0.233409   -0.23066257 -0.22610973
 -0.22814326 -0.22920458 -0.21774213 -0.22400887 -0.23349631 -0.2253336
 -0.23316562 -0.22947145 -0.2224884  -0.22426419]","[1.3545586 2.0217955 1.8931018 1.831121  1.5230143 1.5942383 1.6822146
 1.6317348 1.3596568 1.6138387 1.6361744 1.4536304 1.5280731 1.8577554
 1.7342569 1.5839885]"
3,1.1306753,"[1.7753985 2.131681  1.6397274 1.4787637 1.4094954 1.6866186 1.5015463
 1.7454898 1.4358231 1.5243584 1.7094641 2.001924  1.2071974 1.275947
 1.2936418 1.8416969]","[0.75882906 0.7420146  0.7709237  0.7578184  0.75096166 0.75010854
 0.75006306 0.74885935 0.7592483  0.76080275 0.7658765  0.7559089
 0.7557026  0.76043814 0.7671507  0.75806254]","[-0.22835611 -0.21948126 -0.22922419 -0.22503412 -0.22995494 -0.21740583
 -0.22838484 -0.2145509  -0.22915304 -0.2298907  -0.22864603 -0.2080454
 -0.22601247 -0.22626726 -0.23574582 -0.21857582]","[2.0037546 2.3511622 1.8689516 1.7037978 1.6394503 1.9040244 1.7299311
 1.9600407 1.6649761 1.7542491 1.9381101 2.2099695 1.4332099 1.5022142
 1.5293876 2.0602727]"
4,1.1306753,"[1.3181942 1.3510716 1.4469584 1.6740606 1.5200715 1.6162661 1.717863
 1.2660679 2.1615753 1.4350811 1.6558933 1.2764919 1.8033488 1.1606367
 1.3617806 1.392428 ]","[0.755428   0.76030016 0.76009685 0.75378907 0.7419778  0.7576543
 0.7542536  0.7615798  0.7469919  0.7522922  0.72773105 0.75173795
 0.76631707 0.7362127  0.7307505  0.75525993]","[-0.23010579 -0.22190534 -0.23369558 -0.22459082 -0.23340635 -0.23839597
 -0.2240182  -0.23144531 -0.21447845 -0.21991037 -0.21421933 -0.22920457
 -0.23710893 -0.23850611 -0.22175169 -0.23083936]","[1.5482999 1.572977  1.680654  1.8986514 1.7534778 1.8546621 1.9418812
 1.4975132 2.3760538 1.6549915 1.8701127 1.5056964 2.0404577 1.3991427
 1.5835323 1.6232674]"
5,1.0755174,"[1.4092728 1.2627709 1.4925826 1.8837839 1.2705348 1.0755174 2.0720203
 1.3295134 1.2826085 2.0099652 1.3514948 1.4852529 1.2773677 1.511384
 1.7528286 1.8402743]","[0.7544707  0.7438208  0.7655228  0.76561475 0.75657505 0.7455203
 0.7643766  0.7364971  0.7548942  0.74060756 0.7610253  0.7444146
 0.7514908  0.74781907 0.7527291  0.75589126]","[-0.22770913 -0.2320578  -0.23033762 -0.2300121  -0.23471537 -0.22060755
 -0.21788183 -0.22899158 -0.22832444 -0.21541849 -0.22921133 -0.22858362
 -0.23376857 -0.23360343 -0.23055983 -0.20374106]","[1.636982  1.4948287 1.7229202 2.113796  1.5052501 1.2961249 2.2899022
 1.558505  1.5109329 2.2253838 1.5807061 1.7138364 1.5111363 1.7449875
 1.9833884 2.0440154]"
6,1.0755174,"[1.787408  1.4893322 1.1485721 1.2747629 1.2924775 1.2127169 1.5901686
 1.2698838 1.2620205 1.4974853 1.1530765 1.2631634 1.1764692 1.7576077
 1.5254958 1.9014679]","[0.7579546  0.7478226  0.75880766 0.73460567 0.7541942  0.75500727
 0.76172656 0.7527465  0.7574871  0.7542023  0.75138646 0.7655789
 0.741716   0.74536943 0.74706554 0.7515846 ]","[-0.20547567 -0.2281816  -0.22608995 -0.22755244 -0.22463897 -0.23146585
 -0.23863594 -0.22978798 -0.23062086 -0.23244368 -0.23174834 -0.22638428
 -0.23148365 -0.21838932 -0.2289994  -0.22888525]","[1.9928837 1.7175138 1.374662  1.5023153 1.5171164 1.4441828 1.8288045
 1.4996717 1.4926413 1.729929  1.3848249 1.4895477 1.4079529 1.975997
 1.7544951 2.1303532]"
7,1.0755174,"[1.3223041 1.4160731 1.683594  1.3041276 1.4256054 2.0449173 1.2639207
 1.404041  1.380359  1.2188487 1.3825593 1.1455748 1.3955022 1.7805666
 1.2620344 1.3048439]","[0.7608199  0.7488073  0.7492693  0.7664368  0.7598057  0.7555523
 0.7477401  0.7470276  0.7554657  0.74393946 0.75584686 0.7565559
 0.76210785 0.7664749  0.75738573 0.761627  ]","[-0.2318646  -0.23056534 -0.22384356 -0.23424187 -0.23172398 -0.2123347
 -0.22832768 -0.23052834 -0.23094547 -0.23074798 -0.23314925 -0.2344059
 -0.23870312 -0.23157416 -0.23190252 -0.23210445]","[1.5541687 1.6466384 1.9074376 1.5383694 1.6573294 2.257252  1.4922483
 1.6345694 1.6113045 1.4495966 1.6157086 1.3799807 1.6342053 2.0121408
 1.4939369 1.5369483]"
8,1.0755174,"[1.6105138 1.5781906 1.5153577 1.7317926 1.4525603 1.3394191 1.2405988
 1.6556941 1.2392632 1.8172101 1.5546906 1.306838  1.5842198 1.2102497
 1.5655562 1.5360548]","[0.76008517 0.7550023  0.7609946  0.761275   0.74805135 0.75457764
 0.73921746 0.76319396 0.75156003 0.76517457 0.7545607  0.76485896
 0.7546861  0.74485004 0.7512042  0.7537343 ]","[-0.23652673 -0.2327907  -0.23181494 -0.2257279  -0.23103844 -0.23677519
 -0.23280017 -0.21332657 -0.22929175 -0.22795713 -0.23267178 -0.23574367
 -0.22768274 -0.2284491  -0.2295119  -0.2203679 ]","[1.8470405 1.8109813 1.7471727 1.9575205 1.6835988 1.5761943 1.4733989
 1.8690207 1.468555  2.0451672 1.7873623 1.5425817 1.8119025 1.4386988
 1.795068  1.7564228]"
9,1.0755174,"[1.1955824 1.4080878 1.3279079 1.2793685 1.3610729 1.354882  1.2190027
 1.483235  1.6247354 1.6554863 1.3212324 1.2575173 1.2771112 1.6291201
 1.5305957 1.587724 ]","[0.7538418  0.75758237 0.73693746 0.7587253  0.7614906  0.7618715
 0.7576698  0.7559881  0.74138635 0.7640467  0.76039064 0.76722234
 0.7438158  0.7453123  0.75162405 0.7528967 ]","[-0.22723554 -0.22840653 -0.21930519 -0.23267761 -0.23561023 -0.23614387
 -0.22810869 -0.22579685 -0.22219801 -0.2396214  -0.23331153 -0.2309504
 -0.22033475 -0.22397427 -0.22223769 -0.23370288]","[1.422818  1.6364944 1.5472131 1.5120461 1.5966831 1.5910258 1.4471114
 1.7090318 1.8469334 1.8951077 1.554544  1.4884677 1.497446  1.8530943
 1.7528334 1.8214269]"
10,1.0755174,"[1.3846    1.4151314 1.5100162 1.2231954 1.4333557 1.6021581 1.6076399
 1.7783496 1.2956712 1.5249854 1.4066697 1.4561654 1.3008409 1.5998403
 1.3344481 1.229631 ]","[0.76409924 0.74789685 0.7557754  0.75424236 0.7490453  0.76838106
 0.74767137 0.7482535  0.7454384  0.7610005  0.7637973  0.7555372
 0.746844   0.7579091  0.75745404 0.7395477 ]","[-0.23231356 -0.22817393 -0.22701482 -0.22827283 -0.23040836 -0.22977774
 -0.2269825  -0.20657496 -0.22751234 -0.23043011 -0.22706087 -0.22549021
 -0.2268477  -0.2213346  -0.22267428 -0.21490903]","[1.6169136 1.6433054 1.737031  1.4514682 1.663764  1.8319358 1.8346224
 1.9849246 1.5231836 1.7554156 1.6337306 1.6816556 1.5276885 1.8211749
 1.5571223 1.44454  ]"
11,1.0755174,"[1.4139925 1.4063039 1.5616834 1.747951  1.4367354 1.3308977 1.2403973
 1.1863135 1.8081882 1.6091481 1.42939   1.1877055 1.2428164 1.36603
 1.2983817 1.7940108]","[0.7590295  0.76515174 0.75620764 0.75526285 0.75340223 0.75466084
 0.745515   0.75299424 0.7637829  0.7639955  0.7445914  0.75985736
 0.74959624 0.7494416  0.74425143 0.76133794]","[-0.23148385 -0.23065002 -0.22486864 -0.20896459 -0.22716685 -0.22631104
 -0.2228384  -0.23430334 -0.23145886 -0.2311441  -0.2342846  -0.23081219
 -0.22829066 -0.22217779 -0.23248334 -0.2251695 ]","[1.6454763 1.636954  1.7865521 1.9569156 1.6639023 1.5572088 1.4632357
 1.4206169 2.039647  1.8402922 1.6636746 1.4185177 1.4711071 1.5882077
 1.5308651 2.0191803]"
12,1.0347418,"[1.4920996 1.4671558 1.1117823 1.3253117 1.1887554 1.4120631 1.1810083
 1.3816203 1.0347418 1.2683479 1.4247333 1.5380064 1.2835191 2.3259091
 1.436524  1.4028536]","[0.7651628  0.7634741  0.7526249  0.7532395  0.75218993 0.7471172
 0.75697404 0.7610304  0.7552808  0.75843966 0.74624175 0.7665338
 0.75522107 0.75658923 0.7515566  0.7209648 ]","[-0.23499715 -0.23391429 -0.22285107 -0.23500614 -0.22779767 -0.23199284
 -0.22881031 -0.2305632  -0.22786112 -0.23527496 -0.22657983 -0.23324387
 -0.23080234 -0.21004474 -0.22079888 -0.22132957]","[1.7270968 1.7010701 1.3346334 1.5603178 1.416553  1.644056  1.4098186
 1.6121835 1.2626029 1.5036228 1.6513131 1.7712502 1.5143214 2.535954
 1.6573229 1.6241832]"
13,1.0347418,"[1.3421223 1.3252941 1.2466953 1.2581539 1.262347  1.6075214 1.1811478
 1.2835194 1.4108288 1.2082427 1.4773703 2.0749247 1.3650826 1.8688439
 1.667449  1.2891812]","[0.7600834  0.7531166  0.75866425 0.7530305  0.75118816 0.76010174
 0.75577366 0.7524267  0.76398706 0.75822824 0.741999   0.7516522
 0.7566666  0.7602028  0.7561491  0.75830144]","[-0.22712111 -0.23339687 -0.22779241 -0.22441946 -0.22896628 -0.22082892
 -0.22631918 -0.23147976 -0.23097055 -0.2383739  -0.22354816 -0.21715485
 -0.22503291 -0.2305297  -0.22698434 -0.23516224]","[1.5692434 1.558691  1.4744877 1.4825734 1.4913132 1.8283503 1.407467
 1.5149992 1.6417993 1.4466165 1.7009184 2.2920794 1.5901155 2.0993736
 1.8944334 1.5243435]"
14,1.0347418,"[1.3196139 1.4455713 1.2986511 1.1958411 1.2865329 1.2637888 1.7221991
 1.8936577 1.8288484 1.2474374 1.0495406 1.4459347 1.148522  1.4386538
 1.0595176 1.7260553]","[0.75474954 0.74724954 0.76209074 0.7636041  0.7385219  0.7530971
 0.7735443  0.73915833 0.74811536 0.7582102  0.7475373  0.7593703
 0.75145906 0.7586388  0.74235344 0.75639313]","[-0.23029402 -0.22325741 -0.23560348 -0.22483015 -0.22717614 -0.22705205
 -0.2372293  -0.21242094 -0.21403149 -0.23234665 -0.23005798 -0.2369262
 -0.23153415 -0.23286068 -0.22647743 -0.23169558]","[1.5499079 1.6688287 1.5342546 1.4206712 1.5137091 1.4908409 1.9594284
 2.1060786 2.0428798 1.479784  1.2795986 1.6828609 1.3800561 1.6715145
 1.285995  1.9577508]"
15,1.0347418,"[1.1849725 1.4795728 1.5440454 1.0784459 1.7794588 1.3697039 1.3600979
 1.5852876 1.6829795 1.5060835 1.4146973 1.3048878 1.4778926 1.2846906
 1.5224538 1.2870158]","[0.7517013  0.74897736 0.765691   0.7470552  0.7310717  0.7432138
 0.7577594  0.7689067  0.7624931  0.7511595  0.7529828  0.7579743
 0.76425904 0.747436   0.75271696 0.74373287]","[-0.23107529 -0.21470337 -0.23496321 -0.23081969 -0.22762437 -0.23077416
 -0.2304828  -0.23520063 -0.23212372 -0.22512439 -0.22706516 -0.23244004
 -0.23576775 -0.23534516 -0.22580373 -0.23088136]","[1.4160478 1.6942761 1.7790086 1.3092656 2.0070832 1.600478  1.5905807
 1.8204882 1.9151032 1.7312078 1.6417625 1.5373278 1.7136604 1.5200357
 1.7482575 1.5178971]"
16,1.0347418,"[1.5706018 1.147755  1.3927885 1.6493193 1.1902155 1.2631494 1.627319
 1.8573754 1.23284   1.6635283 1.7986668 1.5170704 1.6575382 1.7175268
 1.1259518 1.1222817]","[0.75727314 0.7563564  0.7654899  0.7529592  0.74255544 0.75757647
 0.7586478  0.7540532  0.7517252  0.76344424 0.7553634  0.7605179
 0.7548916  0.75506926 0.7575157  0.75263983]","[-0.2272685  -0.2299938  -0.23526827 -0.22086275 -0.23439327 -0.23145714
 -0.23293832 -0.23154612 -0.2251818  -0.23622124 -0.21984155 -0.23250471
 -0.23248576 -0.23295486 -0.2363257  -0.23072158]","[1.7978703 1.3777488 1.6280568 1.870182  1.4246087 1.4946065 1.8602573
 2.0889215 1.4580218 1.8997495 2.0185084 1.7495751 1.890024  1.9504817
 1.3622775 1.3530033]"
17,1.0347418,"[2.123175  1.4630382 1.5360125 1.546017  1.5465155 1.5624851 1.2934564
 1.2859684 1.3924794 1.5023901 1.3764796 1.4560909 1.471201  1.3586317
 1.4631125 1.3259089]","[0.7470666  0.77173823 0.7630159  0.7586248  0.74485874 0.7516075
 0.7570739  0.75458014 0.75555295 0.75606805 0.7550424  0.76843995
 0.76090235 0.75942117 0.76032174 0.76658267]","[-0.21073322 -0.24017882 -0.2295055  -0.23501568 -0.23419099 -0.229519
 -0.22638845 -0.23172577 -0.23270546 -0.23418736 -0.23042588 -0.23089556
 -0.22887182 -0.22707927 -0.22823384 -0.23010115]","[2.333908  1.703217  1.7655181 1.7810327 1.7807064 1.7920041 1.5198449
 1.5176942 1.6251849 1.7365775 1.6069055 1.6869864 1.7000728 1.585711
 1.6913463 1.55601  ]"
