branch_index,prompt_chain
0,a dying star ; simulatefragmentation low energy ; simulatefragmentation high energy expansive ; simulatefragmentation high energy chaotic stable ; simulatefragmentation chaotic selforganizing  
1,a dying star ; simulatefragmentation low energy ; simulatefragmentation high energy expansive ; simulatefragmentation high energy chaotic stable ; simulatefragmentation chaotic emergent  
2,a dying star ; simulatefragmentation low energy ; simulatefragmentation high energy expansive ; simulatefragmentation high energy chaotic unstable ; simulatefragmentation complex emergent  
3,a dying star ; simulatefragmentation low energy ; simulatefragmentation high energy expansive ; simulatefragmentation high energy chaotic unstable ; simulatefragmentation selfassembly chaotic  
4,a dying star ; simulatefragmentation low energy ; simulatefragmentation high energy conservative ; simulatefragmentation high energy chaotic stable ; simulatefragmentation emergentstructures  
5,a dying star ; simulatefragmentation low energy ; simulatefragmentation high energy conservative ; simulatefragmentation high energy chaotic stable ; simulatefragmentation unstable emergent  
6,a dying star ; simulatefragmentation low energy ; simulatefragmentation high energy conservative ; simulatefragmentation high energy aggressive unstable ; simulatefragmentation low energy selfassembly emergent complexity  
7,a dying star ; simulatefragmentation low energy ; simulatefragmentation high energy conservative ; simulatefragmentation high energy aggressive unstable ; simulatefragmentation emergentstructures  
8,a dying star ; simulatefragmentation high energy ; simulatefragmentation highenergy resonance expansive ; simulatefragmentation resonantcollapse stable ; simulatefragmentation emergentcomplexity  
9,a dying star ; simulatefragmentation high energy ; simulatefragmentation highenergy resonance expansive ; simulatefragmentation resonantcollapse stable ; simulatefragmentation chaoticresonance  
10,a dying star ; simulatefragmentation high energy ; simulatefragmentation highenergy resonance expansive ; simulatefragmentation resonantcollapse chromaticshift unstable ; simulatefragmentation selforganization emergentstructures  
11,a dying star ; simulatefragmentation high energy ; simulatefragmentation highenergy resonance expansive ; simulatefragmentation resonantcollapse chromaticshift unstable ; simulatefragmentation selforganization chromaticshift  
12,a dying star ; simulatefragmentation high energy ; simulatefragmentation highenergy chaotic conservative ; simulatefragmentation chaotic conservative stable ; simulatefragmentation chaoticstable  
13,a dying star ; simulatefragmentation high energy ; simulatefragmentation highenergy chaotic conservative ; simulatefragmentation chaotic conservative stable ; simulatefragmentation chaotic stable  
14,a dying star ; simulatefragmentation high energy ; simulatefragmentation highenergy chaotic conservative ; simulatefragmentation chaotic conservative unstable ; simulatefragmentation chaotic unstable selfreplication  
15,a dying star ; simulatefragmentation high energy ; simulatefragmentation highenergy chaotic conservative ; simulatefragmentation chaotic conservative unstable ; simulatefragmentation chaotic conservative selfassembly  
